rut;first_name;last_name;email;password;password_confirm;direccion;tipo_usuario
12345678-9;Freddie;Mercury;fmercury@mail.com;1234;1234;123 Queen St.;1
23456789-0;Robert;Plant;rplant@mail.com;1234;1234;456 Rock Ln.;2
34567890-1;James;Hetfield;jhetfield@mail.com;1234;1234;789 Metal Ave.;2
45678901-2;Axl;Rose;arose@mail.com;1234;1234;321 Sunset Blvd.;2
56789012-3;Ozzy;Osbourne;oosbourne@mail.com;1234;1234;555 Paranoid Rd.;3
67890123-4;David;Gilmour;dgilmour@mail.com;1234;1234;777 Comfortably Numb St.;3
78901234-5;Kurt;Cobain;kcobain@mail.com;1234;1234;999 Smells Like Teen Spirit Ave.;3
89012345-6;Roger;Waters;rwaters@mail.com;1234;1234;444 The Wall Dr.;2
90123456-7;Bruce;Dickinson;bdickinson@mail.com;1234;1234;222 Iron Maiden Blvd.;2
01234567-8;Angus;Young;ayoung@mail.com;1234;1234;666 Highway to Hell Rd.;3
